"Continent","Chrome","IE","Firefox","Yandex Browser","Safari","Android","Edge","Opera","Sogou Explorer","QQ Browser","Maxthon","UC Browser","Coc Coc","360 Safe Browser","Chromium","Amigo","Silk","SeaMonkey","Iron","Phantom","Pale Moon"
Croatia ,45.91,8.15,37.98,0,2.94,0,0,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,40.82,20.21,12.29,0,17.64,0,1.75,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,43.57,19.78,11.01,0,21.46,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,43.07,13.79,26.06,0,12.47,0,1.09,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,52.28,13.4,13.08,0,15.9,1.47,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,62.13,6.64,22.5,0,4.2,1.41,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,44.21,16.83,26.06,0,4.15,0,1.14,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,68.77,5.54,17.16,0,4.89,1.24,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,72.49,5.88,13.65,0,2.68,1.63,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,27.17,22.73,21.48,0,22.67,1.66,1.59,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,26.14,37.17,30.74,0,1.69,1.36,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,31.59,20.52,29.34,0,12.32,1.26,1.54,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,39.81,3.18,43.9,0,1.5,1.44,0,8.13,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,60.07,6.78,22.94,0,3,1.54,0,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,60.61,10.55,19.96,0,4.34,1.73,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,65.77,10.16,10.72,0,5.81,1.57,0,2.29,0,0,0,0,0,1.86,0,0,0,0,0,0,0
Nepal ,65.56,4.84,21.95,0,2.9,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,68.11,3.74,5.75,0,1.37,0,0,18.21,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,64.85,6.55,18.94,0,2.56,1.07,0,1.29,0,0,0,0,0,0,3.67,0,0,0,0,0,0
Slovakia (Slovak Republic) ,46.22,8.95,31.42,0,3.84,1.15,1.18,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,66.72,3.83,23.36,0,1.56,0,0,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,64.21,3.59,4.94,4.73,3.36,2.76,0,14.39,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,57.51,18.11,8.74,0,9.53,1.66,1.12,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,67.16,9.37,13.97,0,5.79,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,48.79,14.03,25.13,0,3.43,0,0,5.98,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,46.56,14.67,29.29,0,5.03,1.12,1.08,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0
