"Continent","Chrome","IE","Firefox","Yandex Browser","Safari","Android","Edge","Opera","Sogou Explorer","QQ Browser","Maxthon","UC Browser","Coc Coc","360 Safe Browser","Chromium","Amigo","Silk","SeaMonkey","Iron","Phantom","Pale Moon"
Guinea-Bissau ,43.05,17.26,26.43,0,7.3,2.48,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,16.28,6.47,71.88,0,2.65,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
Montserrat ,58.69,12.67,13.2,0,7.96,2.42,1.55,0,0,0,0,0,0,0,0,0,0,0,0,1.76,0
Chad ,41.53,11.49,27.59,0,6.52,2.93,0,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,35.31,15.96,36.21,0,5.3,3.02,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,25.66,34.96,17.39,0,17.86,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,33.86,32.06,13.3,0,14.39,3.33,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,49.1,7.28,34.48,0,3.4,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,40.26,44.23,6.98,0,4.06,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69,0
Wallis and Futuna ,41.8,11.09,33.24,0,10.52,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,27.9,18.75,26.88,0,1.91,0,0,20.59,0,0,0,0,0,0,0,0,0,0,0,2.81,0
Christmas Island ,53.08,33.98,8.56,0,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,39.6,8.09,38.76,0,10.64,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,42.16,33.77,17.41,0,4.65,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands ,19.52,9.14,17.43,0,1.62,0,0,43.14,8.29,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,32.18,9.15,26.03,0,5.05,0,0,1.26,26.18,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,30.08,7.07,25.11,0,2.56,0,0,3.76,19.85,0,0,0,0,0,0,0,0,0,0,9.77,0
South Georgia and the South Sandwich Islands ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
